Ｂ超,Bb06
慈祥,Ee01
慈心,Df03
慈颜,Ah04
慈竹,Bh01
慈闱,Ah04
瓷,Bm15
瓷杯,Bp07
瓷雕,Hg19
瓷具,Ba05
瓷瓶,Bp06
瓷漆,Bm11
瓷器,Ba05
瓷实,Eb11
瓷土,Bm04
瓷砖,Bm06
瓷砖地面,Bn05
词,Dk27
词表,Dk06
词伯,Al01
词典,Dk20
词调,Bg07
词儿,Dk11
词法,Di24
词锋,Dk06
词干,Dk06
词根,Dk06
词豪,Al01
词话,Dk26
词汇,Dk06
词汇学,Dk03
词杰,Al01
词句,Dk06
词客,Al01
词类,Dn08
词令,Dk06
词牌,Dd15
词频,Ka10
词谱,Dk20
词曲,Dk28
词人,Al01
词数,Dn03
词讼,Hm01
词素,Dd10
词条,Dn08
词头,Dk06
词尾,Dk06
词形,Dc01
词性,Dd01
词雄,Al01
词序,Dd07
词义,Db06
词余,Dk17
词语,Dk06
词源,Db02
词韵,Df13
词藻,Dk06
词章,De04
词缀,Dk06
词宗,Al01
词组,Dk06
此,Cb30
此岸性,Dd01
此处,Cb30
此次,Dd07
此地,Cb30
此地无银三百两,If23
此后,Ca12
此间,Cb30
此刻,Ca31
此起彼伏,Ig03
此前,Ca11
此情此景,Dc02
此时,Ca31
此事,Da01
此外,Kc11
此项,Dd06
此行,Hj63
此言,Dk11
此一时，彼一时,Jb02
此致,Hi10
此中,Da05
此种,Dn08
刺,Bp18
刺柏,Bh01
刺参,Bi17
刺穿,Fa29
刺刺不休,Hi12
刺刀,Bo27
刺儿,Dk10
刺儿菜,Bh03
刺儿头,An04
刺耳,Ed41
刺骨,Eb26
刺槐,Bh01
刺激,Je06
刺激素,Dd10
刺激性,Dd01
刺蓟,Bh08
刺客,An02
刺棱,Kf13
刺溜,Kf13
刺目,Ed41
刺挠,Ib11
刺配,Hm09
刺杀,Hb06
刺伤,Ib10
刺史,Af08
刺丝,Fa29
刺探,Hi24
刺头,Ag06
刺细胞,Bk14
刺绣,Bp33
刺绣工,Ae02
刺眼,Ed41
刺痒,Ib11
刺针,Fa29
刺猬,Bj01
赐,Hi26
赐教,L02
赐予,Hi26
次,Jb05
次长,Af10
次次,Ka11
次大陆,Be01
次等,Ed03
次第,Ka24
次货,Ba04
次级,Di16
次级线圈,Bo04
次氯酸,Ba06
次年,Ca18
次女,Ah14
次贫,Ef14
次品,Ba04
次日,Ca23
次生,Ib01
次生矿物,Ba01
次数,Dn03
次序,Dd07
次要,Ed28
次韵,Hg10
次之,Dn04
次子,Ah14
聪,Ee15
聪慧,Ee14
聪敏,Ee14
聪明,Ee14
聪明才智,De04
聪明伶俐,Ee15
聪明人,Al04
聪明一世，糊涂一时,Ee14
聪颖,Ee14
葱,Bh06
葱白,Ec02
葱白儿,Bh10
葱葱,Eb04
葱翠,Eb04
葱花,Br07
葱绿,Ec02
葱头,Bh06
葱心儿绿,Ec02
葱郁,Eb04
葱茏,Eb04
匆匆,Ef06
匆匆忙忙,Ef06
匆促,Ef06
匆忙,Ga10
匆猝,Ef06
匆遽,Ef06
从,Hi39
从～里感到亲切）,Df02
从不,Ka18
从长计议,Hi31
从此,Ca12
从此以后,Ca12
从从容容,Ga09
从打,Kb02
从动,Eb34
从而,Kc09
从犯,An02
从父,Ah05
从今,Kb02
从井救人,Hi36
从句,Dk06
从军,Hj22
从口一词,Jb01
从来,Ka10
从轮,Bo25
从母,Ah06
从难,Ed07
从女,Ah16
从前,Ca11
从权,Ed14
从戎,Hj22
从容,Ga09
从容不迫,Ga09
从善如流,Hi39
从师,Hg08
从事,Hc01
从属,Ja06
从速,Ka08
从天而降,Jd07
从头,Ig01
从头到底,Eb02
从头至尾,Eb02
从未,Ka18
从未有过,Ka18
从先,Ca11
从小,Ca11
从新,Ka14
从心所欲,Ee11
从刑,Di26
从严,Ee36
从业,Hc27
从业员,Ae01
从一而终,Ee43
从医,Hj22
从艺,Hj19
从早到晚,Eb24
从者,Af02
从政,Hj23
从中,Ka23
从子,Ah16
从坐,If10
从谏如流,Hi39
丛,Dn08
丛集,Ie10
丛刊,Dk20
丛刻,Dk20
丛林,Bh01
丛生,Jd07
丛书,Dk20
丛谈,Dk11
丛葬,Hj54
丛冢,Bn22
凑,Ie10
凑搭,Hj30
凑份子,Hj31
凑合,Ie10
凑集,Ie10
凑近,Id21
凑拢,Id21
凑巧,Ka26
凑趣儿,Hi55
凑手,If04
凑数,Ie10
凑足,Ie10
粗,Ka05
粗暴,Ee31
粗笨,Ee14
粗鄙,Ee42
粗布,Bq01
粗糙,Eb33
粗茶淡饭,Br06
粗粗,Ka17
粗大,Eb16
粗墩墩,Ea06
粗饭,Br04
粗纺,Hd12
粗服乱头,Ee11
粗服呢,Bq02
粗葛布,Bq01
粗豪,Ee04
粗花呢,Bq02
粗话,Dk11
粗活,Di19
粗拉,Ed18
粗里粗气,Ee31
粗粮,Br05
粗劣,Ed18
粗陋,Eb33
粗鲁,Ee31
粗率,Ee28
粗略,Ed37
粗毛皮,Bm13
粗眉,Bk12
粗浅,Ed08
粗纱,Bm12
粗声大气,Eb16
粗食,Br06
粗实,Ea06
粗疏,Ee28
粗俗,Ee42
粗通文墨,Ee18
粗腿病,Dl01
粗细,Dn01
粗线条,Ed18
粗心,Ee28
粗野,Ee31
粗衣布服,Ee26
粗枝大叶,Ee28
粗制滥造,Ee27
粗制品,Ba04
粗重,Eb16
粗壮,Eb16
粗犷,Ee31
醋,Br08
醋大,Al01
醋劲儿,Df01
醋栗,Bh07
醋酸,Ba01
醋酸纤,Bm12
醋酸纤维,Bm12
醋意,Df05
簇,Dn08
簇ｃｕ,Bb03
簇新,Eb28
簇拥,Id23
促,Je06
促成,Ie14
促进,Je06
促进会,Di10
促进派,Di10
促请,Hi25
促使,Je04
促膝谈心,Hi12
促狭鬼,Ak05
促销,He03
促织,Bi18
蹿,Fb02
蹿房越脊,Fb01
蹿血,Ib18
篡,Ha06
篡党,Ha06
篡夺,Ha06
篡改,Hj66
篡位,Ha06
窜,Hg18
窜犯,Hb11
窜改,Hg18
窜扰,Hb11
窜逃,Hj38
摧败,Hb13
摧残,Je10
摧毁,Hb13
摧枯拉朽,Ed19
摧辱,Hi58
摧折,If22
崔,Dd15
崔崔,Ea02
崔嵬,Ea02
催,Hi28
催逼,Hi56
催产,Je04
催促,Hi28
催肥,Hd27
催汗,Je04
催化,Ih01
催化剂,Br13
催泪弹,Bo28
催眠,Hj32
催眠曲,Dk28
催眠术,Db09
催眠药,Br13
催命,Hi28
催奶,Je04
催青,Hd19
催生,Je04
催使,Je04
催吐剂,Br13
催芽,Hi28
催妆诗,Dk27
催足,Hi28
脆,Ee04
脆骨,Bk13
脆快,Ee04
脆快了当,Ee04
脆弱,Ee12
脆生,Eb17
脆性,Dd01
粹,Dg01
淬火,Hd09
淬砺,Hg06
翠,Ec02
翠菊,Bh02
翠绿,Ec02
翠绿色,Ec02
翠鸟,Bi11
翠微,Be04
翠玉,Bm16
翠竹,Bh01
村,Cb25
村办,Ed55
村长,Af10
村夫子,Ae13
村里,Cb05
村落,Cb25
村民,Ae07
村史,Da07
村头,Cb01
村委,Dm01
村学,Dm05
村学究,Ae13
村野,Ee31
村寨,Cb25
村镇,Cb25
村庄,Cb25
村子,Cb25
村塾,Dm05
存,Jd06
存查,Hc18
存储,Hj40
存储器,Ba05
存贷,He07
存单,Bp19
存档,Hj40
存而不论,Hc20
存放,Id07
存抚,Hi35
存根,Bp19
存户,Di05
存活,Jd01
存货,Ba04
存款,Dj08
存栏,Dj08
存钱,Hj40
存取,Hi27
存入,Hj40
存身,Hj19
存食,Ib12
存亡,Ig03
存亡继绝,Ha04
存亡未卜,Ie06
存问,Hi35
存项,Dj08
存心,Gb01
存心不良,Ee01
存心养性,Hg03
存养,Hg03
存疑,Gb14
存在,Jd01
存照,Di24
存折,Bp19
存执,Bp19
存贮,Hj40
存贮器,Ba05
寸,Dn10
寸白虫,Bi18
寸步不离,Ed32
寸步难行,Ed07
寸草,Bh03
寸草不留,Ef09
寸草不生,Eb04
寸长,Dd02
寸肠,Df02
寸进,Ie12
寸楷,Dk05
寸口,Bk08
寸木岑楼,Jb02
寸田,Df02
寸土,Cb13
寸土不让,Gb17
寸土寸金,Ed27
寸心,Df05
寸阴,Bk15
寸阴若岁,Gb06
寸札,Dk16
寸衷,Df02
寸楮,Bp18
磋商,Hi31
撮,Dn08
撮合,Hi16
撮合山,Aj15
撮箕,Bp10
撮弄,Hi56
撮要,Dk10
撮子,Dn08
撮字,Hd13
搓,Fa22
搓板,Bm07
搓手顿脚,Ga12
搓洗,Fa21
搓澡,Fa21
措,Gb20
措办,Hc01
措辞,Dk06
措词,Dk11
措大,Al01
措施,Db09
措手,Hc01
措手不及,Ie17
措意,Gb20
措置,Hc01
措置裕如,Ga09
挫,Je08
挫败,Hb13
挫辱,Hi58
挫伤,Je10
挫折,If22
错,Id19
错案,Da03
错别字,Dk05
错车,Hf01
错处,Da15
错非,Kc07
错怪,Gb11
错过,Jd08
错话,Dk11
错金,Hd11
错觉,Df04
错乱,Ef13
错落,Id25
错落不齐,Ef13
错失,Jd08
错事,Da15
错位,Id14
错误,Da15
错误百出,Ed12
错杂,Ef13
错字,Dk05
错综复杂,Ed35
搭,Hf02
搭伴,Hi63
搭帮,Hi63
搭背,Bo26
搭补,Hi36
搭碴儿,Hi12
搭乘,Hf02
搭档,Aj03
搭话,Hi12
搭伙,Hj12
搭架子,Hg16
搭街坊,Hi01
搭救,Hi36
搭客,Hf02
搭理,Hi12
搭配,Ie05
搭腔,Hi12
搭桥,Hi16
搭手,Hi36
搭头,Ie02
搭腰,Bo26
搭讪,Hi18
达,Je12
达标,Je12
达成,Je12
达到,Je12
达尔文,Al02
达尔文主义,Dk02
达官,Af08
达官贵人,Af08
达观,Ee08
达赖喇嘛,Am02
达姆弹,Bo28
答,Hi29
答案,Dk03
答拜,Hi02
答辩,Hi41
答茬儿,Hi12
答词,Dk11
答道,Hi18
答对,Hi18
答非所问,Jc03
答复,Hi18
答话,Hi18
答卷,Dk03
答理,Gb22
答礼,Di13
答数,Dn03
答谢,Hi29
答应,Hi32
打,Gb05
打靶,Hb06
打靶场,Cb28
打把势,Hg06
打败,Hb13
打扮,Dc03
打苞,Ib22
打包,Fa16
打包票,Ka15
打饱嗝儿,Ib05
打抱不平,Ee13
打奔儿,Fd05
打蹦儿,Fb02
打比,Hj26
打比〔方〕,Ja01
打比方,Ja01
打笔墨官司,Hi41
打草惊蛇,Hi52
打岔,Hi52
打颤,Fd06
打场,Hd25
打长工,Hj21
打吵子,Hi42
打成一片,Ie08
打赤膊,Id03
打赤脚,Id03
打抽丰,Hn11
打出,Hj12
打出手,Hh01
打春,Ca24
打从,Kb02
打倒,Ha01
打道回府,Hf07
打得火热,Ed32
打的,Hf02
打点,Hn09
打电报,Hi11
打电话,Hi11
打叠,Hj35
打顶,Hd22
打动,Je02
打斗,Hi44
打赌,Hj50
打短儿,Hj21
打短工,Hj21
打断,Id20
打哆嗦,Fd06
打耳光,Fa01
打发,Hc04
打法,Db09
打翻,Ha01
打工,Hj11
打工妹,Ae02
打工仔,Ae02
打躬,Fd09
打躬作揖,Fd09
打鼓,Ga07
打鼓的,Ae09
打鼓儿的,Ae09
打瓜,Fa08
打官腔,Hi12
打官司,Hm01
打光棍儿,Ie07
打鬼,Hl02
打滚,Fd06
打哈哈,Hi55
打哈欠,Ib07
打夯,Hd01
打好,Hb02
打呵欠,Ib07
打横,Cb01
打呼,Fc09
打呼哨,Fc09
打花鼓,Dk29
打滑,Fd05
打谎,Hi19
打回票,If13
打伙,Hi63
打火,Hj43
打火机,Bp23
打击,Fa01
打击乐器,Bp13
打家劫舍,Hn03
打价,He02
打架,Hi44
打尖,Hd22
打交道,Hi01
打搅,L04
打劫,Hn03
打结,Gb14
打紧,Ed28
打井,Fa10
打酒,He03
打开,Hc05
打开天窗说亮话,Hi12
打口哨,Fc09
打垮,If22
打来,Hc07
打捞,Fa23
打雷,Ia05
打擂台,Hh07
打冷颤,Fd06
打冷枪,Hb06
打莲湘,Dk29
打量,Gb03
打猎,Hd26
打零工,Hj21
打零活,Hj21
打另,Ef05
打乱,Ef13
打落水狗,Hi59
打麻烦,Hi52
打马虎眼,Hi49
打埋伏,Hi20
打麦场,Cb28
打鸣儿,Fc10
打磨,Fa22
打内战,Hb02
打拍子,Hh04
打牌,Hj48
打炮,Hb06
打喷嚏,Ib07
打平,Jb01
打破,Hb10
打破沙锅璺,Hi18
打破沙锅璺到底,Hi18
打谱,Gb05
打气,Hi34
打气筒,Bo01
打汽炉,Bo19
打千,Fd09
打前失,Fd05
打前站,Ie11
打枪,Hb06
打琴,Bp13
打情骂俏,Hj51
打秋风,Hn11
打球,Hh05
打趣,Hi55
打圈子,Id15
打拳,Hh05
打群架,Hi44
打扰,L04
打入,Hj64
打入冷宫,If12
打扫,Fa21
打闪,Ia05
打扇,Fa30
打伤,Hi44
打食,Hj45
打手,An05
打手势,Fa34
打死,Hi44
打算,Gb05
打算盘,Fa33
打碎,Fa01
打胎,Hg22
打探,Hi24
打嚏喷,Ib07
打天下,Ha01
打铁,Hd07
打铁趁热,Kb07
打听,Hi24
打通,Fa10
打通关,Hj46
打头,Ie11
打头风,Bf02
打头阵,Ie11
打退堂鼓,Hj67
打网,Hd26
打围,Hd26
打问,Hi24
打问讯,Fa35
打窝,Fa10
打下,Hb12
打下手,Hi36
打先锋,Ie11
打响,If22
打消,Jd10
打小鼓的,Ae09
打小算盘,Gb05
打斜,Fd02
打掩护,Hi20
打眼,Ed46
打佯儿,Ic09
打样,Hg19
打腰鼓,Dk29
打药,He03
打野外,Hg06
打夜工,Hj11
打夜作,Hj11
打印,Hd13
打印机,Ba05
打印台,Bp16
打印纸,Bp17
打硬仗,Hb02
打油诗,Dk27
打游击,Hb02
打鱼,Hd26
打鱼郎,Ae07
打援,Hb08
打圆场,Hi45
打圆盘,Hi45
打杂儿,Hj11
打造,Hd04
打仗,Hb02
打招呼,Hi15
打照面,Id18
打照面儿,Id18
打折扣,Ih05
打针,Hg20
打整,Hj35
打中,Ie11
打肿脸充胖子,Hj58
打主意,Gb01
打住,Ig02
打转,Id15
打转转,Id15
打桩,Fa10
打着,Hi44
打字,Hd13
打字机,Bo01
打字员,Ae01
打总儿,He16
打嘴,If05
打嘴巴,Fa01
打坐,Fb03
打卦,Hl02
打诨,Hh01
打嗝儿,Ib07
打愣儿,Ic04
打杈,Hd22
打烊,Ig02
打禅,Fb03
打盹儿,Hj32
打瞌睡,Hj32
打醮,Hl02
打踉跄,Fd05
大,Ah05
大、中、小,Ae13
大…特…,Ed15
大ｐｉａｏ,Bh09
大案,Da03
大巴山,Be04
大坝,Bn14
大白,If23
大白菜,Bh06
大白话,Dk11
大白天,Ca28
大摆,Hj46
大摆筵席,Hj46
大败,If21
大败亏输,If21
大班,Ae06
大板车,Bo21
大半,Ka05
大办,Hc01
大棒,Bo13
大包干,Hj24
大饱眼福,Je13
大宝,Di17
大鲍,Bi17
大北窑,Cb08
大本营,Cb12
大笔,Dk19
大辟,Di26
大便,Bl04
大变,Ih01
大别山,Be04
大宾,Aj05
大兵,Ae10
大兵团,Di09
大饼,Br09
大伯,Ai02
大脖子病,Dl01
大不敬,Ee06
大不了,Ka02
大不列颠,Dd15
大布,Bq01
大步,Fb01
大步流星,Fb01
大部分,Eb02
大部头,Dk20
大材小用,Ed49
大才,De04
大菜,Da18
大藏经,Dk20
大肠,Bk14
大肠杆菌,Bj01
大潮,Da20
大巢菜,Bh06
大吵大闹,Hi42
大车,Bo21
大臣,Af08
大成,Da14
大吃八喝,Fc06
大吃大喝,Fc06
大吃一惊,Ga16
大虫,Bi02
大出纳,Ae01
大处落墨,Hg11
大船,Bo22
大疮,Dl01
大吹大擂,Hc12
大醇小疵,Ed05
大慈大悲,Ee01
大葱,Bh06
大错特错,Ed12
大打出手,Hi44
大大,Ka01
大大方方,Ee35
大大落落,Ee10
大大咧咧,Ee11
大袋鼠,Bi08
大胆,Ee13
大刀,Bo09
大刀阔斧,Ee12
大道,Cb27
大道理,Db06
大盗,An03
大德,De02
大敌,Aj01
大敌当前,Ef08
大抵,Ka05
大地,Cb07
大帝,Af05
大弟,Aa03
大典,Di13
大殿,Bn23
大动干戈,Hi44
大动脉,Bn11
大豆,Bh06
大豆胶,Bm14
大都,Ka05
大肚子,Ag02
大肚子痞,Ib11
大度,Ee35
大渡河,Be05
大端,Dd05
大队,Di09
大多,Ka05
大多数,Dn05
大恩,Da11
大恩大德,Da11
大而无当,Ea03
大发慈悲,Ee01
大发雷霆,Ga03
大发议论,Hi41
大法,Di25
大法小廉,Ee41
大凡,Kc06
大饭店,Dm04
大方,Al02
大方脉科,Dk03
大方向,Da20
大方之家,Al02
大放厥词,Hi41
大分,Da17
大分子,Aj07
大粪,Bl04
大风,Bf02
大风大浪,Db08
大风呼啸,Ia03
大佛,Dk31
大夫,Ae15
大幅,Ka11
大幅度,Ea03
大伏天,Ca19
大副,Ae03
大父,Ah03
大腹便便,Ea07
大腹贾,Ag04
大腹皮,Bh08
大腹子,Bh08
大概,Ka17
大干,Hj12
大纲,Dk10
大哥,Ah09
大革命,Ha01
大个儿,Ac01
大个子,Ac01
大功告成,Ie14
大公国,Di02
大公无私,Ee40
大姑,Ah13
大姑儿,Ah13
大姑娘,Ab01
大姑子,Ah13
大鼓,Bp13
大骨节病,Dl01
大故,Ib03
大褂,Bq03
大关,Cb20
大官,Af08
大规模,Ed38
大锅饭,De01
大国,Di02
大国主义,Di08
大过,Da15
大海,Be05
大海捞针,Ed07
大韩民国,Di02
大含细入,Ed08
大寒,Ca24
大喊大叫,Hc12
大旱,If17
大旱望云霓,Gb04
大汉,Ac01
大好,Ib10
大好时机,Ca03
大号,Dd15
大合唱,Hh04
大黑汀,Be02
大亨,Af11
大轰大嗡,De01
大红,Ec01
大红大绿,Ec06
大红花,Bh02
大后方,Cb12
大后年,Ca18
大后天,Ca23
大胡子,Bk12
大狐,Bi03
大户,An06
大户人家,Di05
大花脸,Ae17
大化肥,Bm18
大话,Dk11
大荒,Be01
大荒大饥,If17
大黄,Bh08
大黄鱼,Bi14
大会,Di23
大会堂,Bn03
大会战,Hb02
大伙,Aa01
大伙儿,Aa01
大火,Bg03
大惑不解,Ga08
大祸,Da09
大饥,Da24
大吉大利,If03
大蓟,Bh08
大计,Df09
大家,Al02
大家伙儿,Aa01
大家鼠,Bi08
大家庭,Di05
大驾,Aa03
大奸,Ak03
大渐,Ib10
大建,Ca21
大将,Ae10
大将军,Ae10
大奖,Hc21
大奖赛,Hh07
大匠,Al03
大脚,Bk08
大较,Dk10
大叫,Fc10
大街,Bn11
大街小巷,Bn11
大节,De02
大节不忠,Hj18
大捷,If21
大解,Ib08
大姐,Aa03
大襟,Bq04
大尽,Ca21
大惊失色,Ga16
大惊小怪,Ga16
大静脉,Bk16
大酒店,Dm04
大舅子,Ah13
大局,Da20
大矩,Cb07
大举,Dd05
大钧,Bd01
大军,Di11
大卡,Bo21
大开方便之门,Hn10
大楷,Dk05
大楷簿,Bp18
大考,Hg07
大客,Bi02
大客车,Bo21
大课,Di09
大块,Bd01
大块头,Ac02
大快朵颐,Je13
大快人心,Ga01
大款,Aa01
大魁,Af10
大浪,Bg02
大牢,Dm02
大老,Ak03
大老粗,Al01
大老婆,Ah08
大理石,Bm04
大礼服,Bq03
大礼堂,Bn03
大吏,Af08
大丽花,Bh02
大力,Ka19
大力士,Al03
大连,Cb25
大梁,Bn06
大量,Ee35
大僚,Af08
大料,Bh09
大裂谷,Be04
大龄,Eb36
大溜,Be05
大楼,Bn01
大路,Cb27
大路活,Ba04
大路货,Ba04
大鹿岛村,Cb25
大陆,Di02
大陆架,Be05
大陆坡,Be05
大戮,Di26
大率,Ka17
大略,Ka17
大妈,Ai02
大麻,Bh09
大麻风,Dl01
大麻哈鱼,Bi14
大麻子,Bh09
大马哈鱼,Bi14
大马士革,Cb25
大麦,Bh05
大猫熊,Bj01
大门,Bn04
大梦,Df10
大梦初醒,Ga15
大米,Br01
大米粥,Br04
大面,Ae17
大面儿,Dd08
大面儿上,Ed44
大明,Bd02
大螟,Bi21
大名,Dd15
大名鼎鼎,Ed25
大命,Da08
大谬不然,Ed12
大模大样,Ee34
大漠,Be01
大拇哥,Bk08
大拇指,Bk08
大母,Ah02
大脑,Bk02
大脑皮层,Bk02
大脑皮质,Bk02
大脑炎,Dl01
大内,Bn23
大逆不道,Ee06
大年,Da24
大年初一,Ca25
大年夜,Ca25
大娘,Ai02
大宁,Cb25
大农业,Di18
大怒,Ga03
大炮,Ak11
大批,Eb01
大铺,Cb01
大谱儿,Df09
大漆,Ba06
大起大落,Ih06
大器,Al03
大器晚成,Ee19
大气,Bg05
大气磅礴,Ed21
大气层,Dd07
大气候,Da20
大气压,Dn08
大千,Di01
大千世界,Di01
大钱,Dj05
大前年,Ca18
大前提,Da21
大前天,Ca23
大枪,Bo27
大桥,Bn11
大巧若拙,Ee14
大清白日,Ca28
大清早,Ca27
大庆,Ca26
大秋,Ca20
大秋作物,Ba02
大曲,Br12
大曲酒,Br12
大权,Di21
大权独揽,Ee38
大全,Eb07
大犬座,Bd01
大人,Ah04
大人物,Af11
大任,Di22
大儒鸿儒,Al01
大赛,Hh07
大扫除,Fa21
大嫂,Ah12
大嫂子,Ah12
大煞风景,Ga05
大少爷,Ag04
大舌头,Ac03
大赦,Hm11
大婶,Ai02
大婶儿,Ah05
大声疾呼,Fc10
大圣,Ak03
大师,Am01
大师傅,Am01
大失所望,Ga05
大实话,Dk11
大使,Af10
大使馆,Dm01
大士,Dh01
大事,Da01
大事不好,If03
大事记,Dk26
大势,Da20
大势所趋,Ka15
大势已去,Ih13
大是大非,Da15
大手笔,Al01
大手大脚,Ee35
大叔,Ai02
大书特书,Hg11
大熟,Da24
大暑,Ca24
大树,Bh01
大数,Da08
大水,Bg01
大肆,Ed15
大苏打,Ba01
大蒜,Bh06
大踏步,Fb02
大堂,Bn03
大提琴,Bp13
大体,Ka17
大体上,Ka06
大天白日,Ca28
大田,Bn12
大田作物,Ba02
大厅,Bn03
大庭广众,Ed46
大同,Cb25
大同江,Be05
大同小异,Jb01
大统,Di17
大头,Ag07
大头菜,Bh06
大头鱼,Bi14
大头针,Bp16
大团结,Ie08
大团圆,Ie09
大腿,Bk08
大王,Al03
大王父,Ah02
大为,Ka01
大尉,Ae10
大文章,Dk10
大我,Ed55
大无畏,Ee13
大五金,Bm01
大雾,Bf05
大西北,Cb08
大西洋,Be05
大喜,Ef09
大喜〔事〕,Da01
大喜过望,Ga01
大喜日子,Ca26
大喜事,Da01
大戏,Dk29
大虾,Bi16
大厦,Bn01
大厦将倾,Ih11
大显身手,Hj12
大显神通,Hj12
大限,Da17
大限已到,Ib10
大相,Jb02
大相径庭,Jb02
大象,Bi02
大小,Ab02
大小便,Ib08
大校,Ae10
大笑,Ic01
大写,Hg11
大写字母,Dk05
大猩猩,Bi04
大兴安岭,Be04
大兴土木,Hd01
大兴义师,Ha05
大刑,Bo32
大型,Dc01
大型机,Bo22
大型客车,Bo21
大行,Ib03
大行其道,Ie01
大行星,Bd01
大行政区,Di02
大姓,Di05
大兄,Ah09
大雄宝殿,Bn23
大熊猫,Bj01
大熊座,Bd01
大修,Hd04
大选,Hc23
大学,Dm05
大学生,Ae13
大雪,Bf01
大雪纷飞,Ia04
大循环,Ig04
大牙,Bk04
大雅,Eb31
大雅之堂,Cb28
大烟,Br14
大烟鬼,An06
大烟枪,Bo32
大盐,Br08
大言,Dk11
大言不惭,Hi19
大眼瞪小眼,Fc04
大眼贼,Bi08
大雁,Bi11
大宴宾客,Hj46
大洋,Be05
大洋洲,Be01
大样,Dc01
大摇大摆,Fb01
大要,Da21
大要案件,Da03
大爷,Ai02
大业,Di18
大叶杨,Bh01
大衣,Bq03
大衣呢,Bq02
大姨,Ah13
大姨子,Ah13
大意,Ga13
大意失荆州,Ga13
大义,Db06
大义凛然,Ee03
大义灭亲,Ee40
大勇,Ee13
大油,Br08
大有,If26
大有可为,Ee19
大有年,Da24
大有人在,Eb01
大有作为,Ee19
大于,Jb04
大鱼,Bi14
大鱼大肉,Br06
大雨,Bf01
大雨瓢泼,Ia03
大雨倾盆,Ia03
大雨如注,Ia03
大元帅,Ae10
大员,Af08
大院,Dm01
大约,Ka17
大跃进,Hj67
大月,Ca21
大运亨通,If03
大杂烩,Dg04
大杂院,Bn09
大杂院儿,Bn01
大早,Ca27
大灶,Bo19
大寨,Cb25
大展经纶,Hj12
大战,Di11
大张旗鼓,Ed15
大张挞伐,Hi21
大丈夫,Ak01
大政,Di08
大指,Bk08
大旨,Db05
大志,Df10
大致,Ka17
大致说来,Ka17
大智大勇,Ee13
大智若,Ee14
大智若愚,Ee34
大中城市,Cb25
大中型,Dd06
大中专,Dm05
大众,Aa01
大众化,Ih01
大众呢,Bq02
大轴戏,Dk29
大轴子,Dk29
大珠小珠落玉盘,Eb17
大主教,Am03
大专,Dk03
大专生,Ae13
大专学校,Dm05
大专院校,Dm05
大篆,Dk05
大自然,Bd01
大字,Dk05
大字报,Dk21
大宗,Eb01
大总管,Af10
大总统,Af10
大族,Di05
大醉,Ib07
大作,Dk19
大作家,Al01
大阪,Cb25
大壑,Be05
大茴香,Bh09
大咧咧,Ee11
大圜,Cb07
大恸恸,Ic01
大檐帽,Bq05
大殓,Hj53
大辂椎轮,Bo25
大氅,Bq03
大憝,Ak03
大憝元凶,Ak03
大砟,Bm08
大鸨,Bi11
大鲵,Bi14
呆,Hj02
呆ｌａｏ,Al04
呆板,Ee16
呆笨,Ee15
呆痴,Ee14
呆看,Fc04
呆若木鸡,Ic04
呆傻,Ee15
呆头呆脑,Ee15
呆望,Fc04
呆小症,Dl01
呆帐,Dj08
呆账,Dj08
呆滞,Ed14
呆子,Al04
呆愣愣,Ee15
歹,Ed03
歹毒,Ee01
歹话,Dk11
歹人,An03
歹徒,Ak03
歹心,Ed03
歹意,Df08
傣,Dj07
傣历,Ca01
傣族,Di04
戴,Fa18
戴白,Bk02
戴愁帽,Ga02
戴高乐,Af10
戴高帽子,Hi46
戴盆望天,Jb02
戴胜,Bi11
戴孝,Hj55
戴月披星,Ee24
戴罪立功,Hc05
戴笠,Aj01
带,Jd04
带兵,Hc09
带到,Hj36
带电,Hj36
带动,Je02
带动性,Dd01
带队,Hc09
带分数,Dn03
带给,Je02
带工头,Aj10
带回,Hj36
带劲,Ic05
带菌者,Aa01
带口信,Hi15
带来,Je02
带累,Je01
带理不理,Ee33
带领,Hf04
带路,Hf04
带勤率,Dn07
带声,Bg07
带手儿,Ka20
带头,Ie11
带头人,Af10
带头羊,Bi06
带徒弟,Hg01
带音,Bg07
带有,Jd06
带鱼,Bi14
带状,Dc01
带子,Bp25
带挈,Hj36
殆,Ka27
代,Dn08
代办,Aj13
代笔,Hi17
代表,Dd11
代表会议,Di23
代表团,Di10
代表性,Dd01
代表者,Dd11
代表作,Dk19
代步,Hi17
代拆代行,Hc01
代词,Dk06
代电,Dk16
代沟,Bn15
代购,He03
代管,Hc02
代号,Dd15
代换,Ih02
代价,Dj02
代金,Dj08
代劳,Hc01
代理,Hc01
代理人,Aj13
代立,Ha03
代码,Dk04
代脉,Bk16
代名词,Dk06
代培,Hg07
代人受过,Hi17
代乳粉,Br12
代数,Dk03
代数方程,Dk02
代数根,Dn08
代数和,Dn09
代数式,Dk02
代数学,Dk03
代替,Hi17
代销,Hi17
代销店,Dm04
代谢,Ih02
代序,Dk22
代言人,Aj13
代议制,Di08
代用,Hi17
代用品,Ba02
代御,Ih02
代远年湮,Eb24
代诊,Hg20
代职,Hi17
代庖,Hc01
代斫,Hc01
贷,He07
贷方,Dd05
贷款,He07
贷真价实,Ed01
袋,Bp11
